id;creation_date;publication_date;headline;leadtext;bodytext;quote;conclusion;link_text;link_url;image;image_content_type;appuser_id;blog_id
1;2019-10-07T11:08:40;2019-10-07T20:48:02;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;../fake-data/blob/hipster.png;image/png;1;1
2;2019-10-07T14:06:17;2019-10-07T15:42:59;Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;../fake-data/blob/hipster.png;image/png;2;2
3;2019-10-07T10:38:03;2019-10-08T00:09:28;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;../fake-data/blob/hipster.png;image/png;3;3
4;2019-10-08T01:07:45;2019-10-08T07:26:56;bus synthesize Idaho;Networked Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;../fake-data/blob/hipster.png;image/png;4;4
5;2019-10-07T19:07:04;2019-10-08T07:47:15;Squares mint green e-business;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;Games;Iraq Bedfordshire;../fake-data/blob/hipster.png;image/png;5;5
6;2019-10-07T17:42:03;2019-10-08T07:26:33;24/7;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;../fake-data/blob/hipster.png;image/png;6;6
7;2019-10-08T04:34:11;2019-10-07T17:58:57;Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;../fake-data/blob/hipster.png;image/png;7;7
8;2019-10-07T13:43:08;2019-10-07T20:08:17;Algerian Dinar;firewall;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;../fake-data/blob/hipster.png;image/png;8;8
9;2019-10-08T08:05:05;2019-10-07T11:08:58;Virginia THX pink;cross-media;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;../fake-data/blob/hipster.png;image/png;9;9
10;2019-10-07T10:27:09;2019-10-08T04:56:13;driver;Bedfordshire;navigate;program alarm;Nevada;Berkshire;dedicated Persevering;../fake-data/blob/hipster.png;image/png;10;10
